lat	long	x	y
54, 6,	2794, 203
54, 7,	4820, 628
54, 8,	6857, 1023
54, 9,	8888, 1388
54, 10, 10923, 1724
54, 11, 12957, 2029
54, 12, 14996, 2304
54, 13, 17027, 2548
54, 14, 19074, 2766
54, 15, 21127, 2957
54, 16, 23170, 3116
53, 8, 6214, 4469
53, 9, 8294, 4837
53, 10, 10377, 5178
53, 11, 12467, 5488
53, 12, 14554, 5767
53, 13, 16624, 6018
53, 14, 18722, 6237
53, 15, 20830, 6427
53, 16, 22929, 6582
52, 6, 1320, 7086
52, 7, 3447, 7519
52, 8, 5579, 7921
52, 9, 7709, 8297
52, 10, 9845, 8637
52, 11, 11987, 8949
52, 12, 14120, 9229
52, 13, 16275, 9486
52, 14, 18405, 9706
52, 15, 20548, 9900
52, 16, 22683, 10061
52, 17, 24836, 10195
51, 6, 599, 10530
51, 7, 2781, 10977
51, 8, 4963, 11379
51, 9, 7133, 11751
51, 10, 9325, 12099
51, 11, 11509, 12413
51, 12, 13690, 12698
51, 13, 15891, 12955
51, 14, 18067, 13175
51, 15, 20260, 13370
51, 16, 22448, 13532
51, 17, 24639, 13668
50, 7, 2111, 14424
50, 8, 4341, 14831
50, 9, 6563, 15207
50, 10, 8801, 15556
50, 11, 11039, 15876
50, 12, 13269, 16164
50, 13, 15514, 16417
50, 14, 17740, 16639
50, 15, 19983, 16838
50, 16, 22213, 17005
50, 17, 24455, 17142
49, 7, 1458, 17875
49, 8, 3732, 18291
49, 9, 6009, 18673
49, 10, 8286, 19025
49, 11, 10569, 19343
49, 12, 12862, 19633
49, 13, 15130, 19886
49, 14, 17413, 20116
49, 15, 19703, 20311
49, 16, 21983, 20473
49, 17, 24273, 30612
48, 7, 809, 21341
48, 8, 3129, 21754
48, 9, 5447, 22137
48, 10, 7783, 22493
48, 11, 10122, 22810
48, 12, 12438, 23097
48, 13, 14771, 23356
48, 14, 17094, 23582
48, 15, 19428, 23781
48, 16, 21754, 23946
48, 17, 24089, 24091
